epoch,avg_train_loss,avg_val_loss,lr,avg_val_mae
1,0.21598422527313232,0.21723422408103943,0.0001,
2,0.06537634879350662,0.10436893254518509,0.0002,
3,0.04385200887918472,0.06057767570018768,0.0003,
4,0.027174465358257294,0.038562025874853134,0.0004,
5,0.01914040558040142,0.03296634182333946,0.0005,0.054852765
6,0.016811653971672058,0.04395565390586853,0.0005,
7,0.016310324892401695,0.030758174136281013,0.0005,
8,0.014980040490627289,0.025371689349412918,0.0005,
9,0.01206119917333126,0.02660985104739666,0.0005,
10,0.011145323514938354,0.020083362236618996,0.0005,0.04661274
11,0.009881261736154556,0.013861274346709251,0.0005,
12,0.00977838970720768,0.01681637391448021,0.0005,
13,0.009507873095571995,0.01911235973238945,0.0005,
14,0.008913138881325722,0.017108812928199768,0.0005,
15,0.007947344332933426,0.018453724682331085,0.0005,0.024280181
16,0.007605079561471939,0.010843425989151001,0.0005,
17,0.006975278723984957,0.01363379880785942,0.0005,
18,0.006733249872922897,0.016619164496660233,0.0005,
19,0.006683449260890484,0.016604728996753693,0.0005,
20,0.006432119756937027,0.013739385642111301,0.0005,0.018291447
21,0.005884306505322456,0.014011564664542675,0.0005,
22,0.00634551839902997,0.01248292438685894,0.0005,
23,0.006180696189403534,0.02163729816675186,0.0005,
24,0.005548275075852871,0.01188137847930193,0.0005,
25,0.005573989823460579,0.01028149388730526,0.0005,0.027236382
26,0.005282064899802208,0.013662704266607761,0.0005,
27,0.005601188633590937,0.012281255796551704,0.0005,
28,0.0052495189011096954,0.011517124250531197,0.0005,
29,0.005140210501849651,0.010813212022185326,0.0005,
30,0.005338003858923912,0.009675305336713791,0.0005,0.020768456
31,0.004945400170981884,0.012041171081364155,0.0005,
32,0.005293701309710741,0.00794140063226223,0.0005,
33,0.00433057826012373,0.009498190134763718,0.0005,
34,0.004578093066811562,0.0193469300866127,0.0005,
35,0.004866925999522209,0.012926140800118446,0.0005,0.024906822
36,0.00466266181319952,0.009675133973360062,0.0005,
37,0.004264318384230137,0.011565405875444412,0.0005,
38,0.0033117919228971004,0.014416251331567764,0.0005,
39,0.0035650311037898064,0.008542855270206928,0.0005,
40,0.0035562561824917793,0.009127144701778889,0.0005,0.018564379
41,0.0031661500688642263,0.009162443690001965,0.0005,
42,0.00322047621011734,0.008955562487244606,0.0005,
43,0.002885990310460329,0.009020471014082432,0.0005,
44,0.0029156419914215803,0.0104411905631423,0.0005,
45,0.0033179556485265493,0.010152099654078484,0.0005,0.013048987
46,0.0021000830456614494,0.006215554662048817,0.0005,
47,0.0020920499227941036,0.00818021409213543,0.0005,
48,0.002169960644096136,0.007870489731431007,0.0005,
49,0.0021538250148296356,0.01054456178098917,0.0005,
50,0.00198729382827878,0.010548884980380535,0.0005,0.015288512
51,0.001585032674483955,0.010354608297348022,0.0005,
